"date_id","활성사용자수","활성사용자수(웰컴 및 Event 수신제외)","신규사용자수","재방문사용자수","누적사용자수"
"2021-08-01","3","3","0","3","2414"
"2021-08-02","105","105","1","104","2415"
"2021-08-03","117","117","2","115","2417"
"2021-08-04","112","112","0","112","2417"
"2021-08-05","111","111","0","111","2417"
"2021-08-06","91","91","0","91","2417"
"2021-08-07","24","24","2","22","2419"
"2021-08-08","5","5","0","5","2419"
"2021-08-09","96","96","0","96","2419"
"2021-08-10","109","109","1","108","2420"
"2021-08-11","118","118","0","118","2420"
"2021-08-12","111","111","2","109","2422"
"2021-08-13","78","78","2","76","2424"
"2021-08-14","11","11","0","11","2424"
"2021-08-15","4","4","0","4","2424"
"2021-08-16","44","44","0","44","2424"
"2021-08-17","85","85","2","83","2426"
"2021-08-18","74","74","0","74","2426"
"2021-08-19","77","77","0","77","2426"
"2021-08-20","64","64","0","64","2426"
"2021-08-21","14","13","9","5","2435"
"2021-08-22","5","5","0","5","2435"
"2021-08-23","70","70","0","70","2435"
"2021-08-24","69","69","1","68","2436"
"2021-08-25","75","75","1","74","2437"
"2021-08-26","60","60","0","60","2437"
"2021-08-27","67","67","0","67","2437"
"2021-08-28","16","16","1","15","2438"
"2021-08-29","5","5","0","5","2438"
"2021-08-30","92","92","2","90","2440"
