"date_id","이전블록이름","블록이름","호출수"
"2021-03-01","","웰컴 블록","12"
"2021-03-01","","학식","11"
"2021-03-01","웰컴 블록","학식","10"
"2021-03-01","도움말","학식","8"
"2021-03-01","","도움말","6"
"2021-03-01","학식","도움말","6"
"2021-03-01","폴백 블록","학식","4"
"2021-03-01","도움말","날씨","4"
"2021-03-01","학식","후원","3"
"2021-03-01","날씨","날씨","3"
"2021-03-01","추천","폴백 블록","2"
"2021-03-01","후원","도움말","2"
"2021-03-01","도움말","추천","2"
"2021-03-01","날씨","폴백 블록","2"
"2021-03-01","","도움말","2"
"2021-03-02","","학식","76"
"2021-03-02","도움말","학식","41"
"2021-03-02","","도움말","29"
"2021-03-02","","학식","21"
"2021-03-02","폴백 블록","학식","13"
"2021-03-02","","폴백 블록","10"
"2021-03-02","","웰컴 블록","10"
"2021-03-02","","도움말","9"
"2021-03-02","학식","도움말","8"
"2021-03-02","웰컴 블록","학식","7"
"2021-03-02","도움말","시설","3"
"2021-03-02","","셔틀","3"
"2021-03-02","학식","학식","3"
"2021-03-02","학식","후원","2"
"2021-03-02","후원","도움말","2"
"2021-03-02","","학식","2"
"2021-03-02","","후원","2"
"2021-03-02","","폴백 블록","2"
"2021-03-03","","학식","76"
"2021-03-03","도움말","학식","53"
"2021-03-03","","도움말","36"
"2021-03-03","","학식","19"
"2021-03-03","","웰컴 블록","15"
"2021-03-03","","도움말","12"
"2021-03-03","웰컴 블록","학식","10"
"2021-03-03","","폴백 블록","9"
"2021-03-03","폴백 블록","폴백 블록","9"
"2021-03-03","폴백 블록","학식","7"
"2021-03-03","학식","도움말","6"
"2021-03-03","도움말","추천","3"
"2021-03-03","학식","학식","3"
"2021-03-03","","셔틀","2"
"2021-03-03","폴백 블록","도움말","2"
"2021-03-03","도움말","막차","2"
"2021-03-03","폴백 블록","셔틀","2"
"2021-03-03","도움말","날씨","2"
"2021-03-03","학식","후원","2"
"2021-03-04","","학식","76"
"2021-03-04","도움말","학식","66"
"2021-03-04","","웰컴 블록","50"
"2021-03-04","","학식","39"
"2021-03-04","","도움말","35"
"2021-03-04","웰컴 블록","학식","24"
"2021-03-04","","도움말","21"
"2021-03-04","학식","도움말","18"
"2021-03-04","폴백 블록","학식","16"
"2021-03-04","","폴백 블록","12"
"2021-03-04","학식","학식","10"
"2021-03-04","학식","후원","9"
"2021-03-04","웰컴 블록","셔틀","9"
"2021-03-04","폴백 블록","폴백 블록","8"
"2021-03-04","도움말","날씨","8"
"2021-03-04","웰컴 블록","폴백 블록","5"
"2021-03-04","셔틀","도움말","4"
"2021-03-04","후원","도움말","4"
"2021-03-04","도움말","막차","4"
"2021-03-04","막차","도움말","4"
"2021-03-04","도움말","셔틀","4"
"2021-03-04","날씨","도움말","4"
"2021-03-04","","셔틀","3"
"2021-03-04","도움말","추천","3"
"2021-03-04","학식","날씨","3"
"2021-03-04","셔틀","폴백 블록","3"
"2021-03-04","학식","셔틀","2"
"2021-03-04","","셔틀","2"
"2021-03-04","폴백 블록","번호","2"
"2021-03-04","날씨","학식","2"
"2021-03-04","웰컴 블록","추천","2"
"2021-03-04","웰컴 블록","막차","2"
"2021-03-04","학식","추천","2"
"2021-03-04","","학식","2"
"2021-03-04","","폴백 블록","2"
"2021-03-04","","학식","2"
"2021-03-04","폴백 블록","셔틀","2"
"2021-03-05","","학식","59"
"2021-03-05","도움말","학식","53"
"2021-03-05","","웰컴 블록","40"
"2021-03-05","","학식","32"
"2021-03-05","","도움말","30"
"2021-03-05","웰컴 블록","학식","15"
"2021-03-05","학식","학식","15"
"2021-03-05","학식","도움말","14"
"2021-03-05","","도움말","14"
"2021-03-05","웰컴 블록","셔틀","12"
"2021-03-05","폴백 블록","학식","9"
"2021-03-05","폴백 블록","폴백 블록","7"
"2021-03-05","도움말","셔틀","7"
"2021-03-05","후원","도움말","6"
"2021-03-05","","폴백 블록","6"
"2021-03-05","폴백 블록","셔틀","5"
"2021-03-05","학식","폴백 블록","5"
"2021-03-05","폴백 블록","추천","5"
"2021-03-05","도움말","추천","5"
"2021-03-05","폴백 블록","시설","4"
"2021-03-05","웰컴 블록","폴백 블록","4"
"2021-03-05","","셔틀","4"
"2021-03-05","","도움말","4"
"2021-03-05","셔틀","학식","4"
"2021-03-05","도움말","시설","4"
"2021-03-05","날씨","폴백 블록","3"
"2021-03-05","","폴백 블록","3"
"2021-03-05","시설","도움말","3"
"2021-03-05","셔틀","도움말","3"
"2021-03-05","","셔틀","3"
"2021-03-05","학식","셔틀","3"
"2021-03-05","","날씨","2"
"2021-03-05","웰컴 블록","날씨","2"
"2021-03-05","도움말","날씨","2"
"2021-03-05","","폴백 블록","2"
"2021-03-05","셔틀","폴백 블록","2"
"2021-03-05","","폴백 블록","2"
"2021-03-05","","후원","2"
"2021-03-05","학식","후원","2"
"2021-03-05","웰컴 블록","추천","2"
"2021-03-05","도움말","후원","2"
"2021-03-06","","학식","10"
"2021-03-06","도움말","학식","6"
"2021-03-06","","도움말","4"
"2021-03-06","폴백 블록","학식","2"
"2021-03-06","","폴백 블록","2"
"2021-03-06","","웰컴 블록","2"
"2021-03-06","학식","도움말","2"
"2021-03-07","","웰컴 블록","8"
"2021-03-07","도움말","학식","5"
"2021-03-07","","학식","4"
"2021-03-07","","폴백 블록","3"
"2021-03-07","","도움말","3"
"2021-03-07","학식","도움말","3"
"2021-03-07","폴백 블록","학식","3"
"2021-03-07","웰컴 블록","막차","2"
"2021-03-07","웰컴 블록","학식","2"
"2021-03-07","웰컴 블록","셔틀","2"
"2021-03-07","도움말","날씨","2"
"2021-03-07","도움말","셔틀","2"
"2021-03-07","셔틀","도움말","2"
"2021-03-07","막차","도움말","2"
"2021-03-08","","학식","90"
"2021-03-08","도움말","학식","40"
"2021-03-08","","도움말","35"
"2021-03-08","","웰컴 블록","13"
"2021-03-08","웰컴 블록","학식","12"
"2021-03-08","","폴백 블록","11"
"2021-03-08","","학식","10"
"2021-03-08","폴백 블록","학식","10"
"2021-03-08","","도움말","6"
"2021-03-08","","셔틀","4"
"2021-03-08","폴백 블록","폴백 블록","4"
"2021-03-08","학식","후원","3"
"2021-03-08","학식","폴백 블록","3"
"2021-03-08","폴백 블록","추천","2"
"2021-03-08","","도움말","2"
"2021-03-08","폴백 블록","셔틀","2"
"2021-03-08","학식","학식","2"
"2021-03-08","학식","도움말","2"
"2021-03-08","","폴백 블록","2"
"2021-03-08","","날씨","2"
"2021-03-09","","학식","85"
"2021-03-09","도움말","학식","53"
"2021-03-09","","도움말","40"
"2021-03-09","","웰컴 블록","16"
"2021-03-09","","폴백 블록","11"
"2021-03-09","폴백 블록","학식","11"
"2021-03-09","웰컴 블록","학식","10"
"2021-03-09","","도움말","6"
"2021-03-09","","학식","5"
"2021-03-09","학식","도움말","5"
"2021-03-09","도움말","추천","4"
"2021-03-09","도움말","셔틀","4"
"2021-03-09","후원","도움말","4"
"2021-03-09","폴백 블록","폴백 블록","4"
"2021-03-09","도움말","시설","3"
"2021-03-09","","후원","3"
"2021-03-09","웰컴 블록","도움말","2"
"2021-03-09","셔틀","도움말","2"
"2021-03-09","학식","폴백 블록","2"
"2021-03-09","","셔틀","2"
"2021-03-09","시설","도움말","2"
"2021-03-09","추천","도움말","2"
"2021-03-10","","학식","109"
"2021-03-10","도움말","학식","74"
"2021-03-10","","도움말","46"
"2021-03-10","","웰컴 블록","37"
"2021-03-10","웰컴 블록","학식","29"
"2021-03-10","폴백 블록","학식","24"
"2021-03-10","","폴백 블록","17"
"2021-03-10","","학식","16"
"2021-03-10","","도움말","15"
"2021-03-10","학식","도움말","13"
"2021-03-10","후원","도움말","10"
"2021-03-10","학식","후원","7"
"2021-03-10","도움말","셔틀","7"
"2021-03-10","도움말","추천","7"
"2021-03-10","","후원","6"
"2021-03-10","학식","폴백 블록","5"
"2021-03-10","폴백 블록","추천","5"
"2021-03-10","추천","폴백 블록","4"
"2021-03-10","도움말","막차","4"
"2021-03-10","셔틀","도움말","4"
"2021-03-10","웰컴 블록","폴백 블록","3"
"2021-03-10","학식","학식","3"
"2021-03-10","","후원","2"
"2021-03-10","후원","폴백 블록","2"
"2021-03-10","막차","추천","2"
"2021-03-10","막차","도움말","2"
"2021-03-10","","학식","2"
"2021-03-10","웰컴 블록","후원","2"
"2021-03-10","","도움말","2"
"2021-03-10","학식","추천","2"
"2021-03-10","","폴백 블록","2"
"2021-03-10","","학식","2"
"2021-03-10","폴백 블록","폴백 블록","2"
