"date_id","이전블록이름","블록이름","호출수"
"2021-08-01","","학식","2"
"2021-08-02","","학식","83"
"2021-08-02","도움말","학식","17"
"2021-08-02","","학식","15"
"2021-08-02","","도움말","13"
"2021-08-02","폴백 블록","학식","7"
"2021-08-02","학식","학식","5"
"2021-08-02","","폴백 블록","4"
"2021-08-02","지하철 도착 정보","지하철 도착 정보","3"
"2021-08-02","","셔틀","3"
"2021-08-02","","도움말","3"
"2021-08-02","지하철 도착 정보","도움말","3"
"2021-08-02","도움말","지하철 도착 정보","2"
"2021-08-02","도움말","시설","2"
"2021-08-02","학식","도움말","2"
"2021-08-02","","폴백 블록","2"
"2021-08-03","","학식","92"
"2021-08-03","도움말","학식","21"
"2021-08-03","","도움말","17"
"2021-08-03","","학식","11"
"2021-08-03","학식","학식","4"
"2021-08-03","","폴백 블록","3"
"2021-08-03","학식","도움말","3"
"2021-08-03","폴백 블록","학식","3"
"2021-08-03","","셔틀","2"
"2021-08-03","도움말","날씨","2"
"2021-08-03","학식","폴백 블록","2"
"2021-08-03","","도움말","2"
"2021-08-03","","웰컴 블록","2"
"2021-08-03","웰컴 블록","학식","2"
"2021-08-04","","학식","89"
"2021-08-04","도움말","학식","33"
"2021-08-04","","도움말","20"
"2021-08-04","","학식","11"
"2021-08-04","학식","도움말","9"
"2021-08-04","","도움말","7"
"2021-08-04","학식","학식","5"
"2021-08-04","폴백 블록","학식","2"
"2021-08-04","","폴백 블록","2"
"2021-08-04","도움말","교내공지","2"
"2021-08-05","","학식","83"
"2021-08-05","도움말","학식","27"
"2021-08-05","","도움말","23"
"2021-08-05","","학식","6"
"2021-08-05","학식","학식","5"
"2021-08-05","","도움말","5"
"2021-08-05","폴백 블록","학식","3"
"2021-08-05","","폴백 블록","3"
"2021-08-06","","학식","69"
"2021-08-06","","학식","37"
"2021-08-06","도움말","학식","33"
"2021-08-06","학식","학식","20"
"2021-08-06","","도움말","17"
"2021-08-06","학식","도움말","13"
"2021-08-06","","도움말","6"
"2021-08-06","","셔틀","2"
"2021-08-07","","학식","14"
"2021-08-07","도움말","학식","13"
"2021-08-07","","도움말","8"
"2021-08-07","학식","도움말","6"
"2021-08-07","학식","학식","4"
"2021-08-07","","웰컴 블록","2"
"2021-08-08","","학식","2"
"2021-08-09","","학식","59"
"2021-08-09","","도움말","19"
"2021-08-09","도움말","학식","18"
"2021-08-09","","폴백 블록","15"
"2021-08-09","폴백 블록","폴백 블록","14"
"2021-08-09","","학식","5"
"2021-08-09","날짜 입력","날짜 입력","5"
"2021-08-09","폴백 블록","셔틀","5"
"2021-08-09","식당 확인","식단 등록-중식","3"
"2021-08-09","식단 등록-석식","날짜 입력","3"
"2021-08-09","식당 확인","식당 확인","3"
"2021-08-09","","학식","3"
"2021-08-09","폴백 블록","학식","3"
"2021-08-09","","학식","3"
"2021-08-09","식단 등록-중식","식단 등록-석식","3"
"2021-08-09","식단 등록-중식","식단 등록-중식","3"
"2021-08-09","식단 등록-석식","식단 등록-석식","3"
"2021-08-09","폴백 블록","도움말","2"
"2021-08-09","피드백 관리","학식","2"
"2021-08-09","피드백 관리","피드백 관리","2"
"2021-08-09","날짜 입력","식당 확인","2"
"2021-08-09","도움말","셔틀","2"
"2021-08-09","학식","도움말","2"
"2021-08-09","","도움말","2"
"2021-08-09","","학식","2"
"2021-08-09","지하철 도착 정보","지하철 도착 정보","2"
"2021-08-09","셔틀","도움말","2"
"2021-08-10","","학식","84"
"2021-08-10","도움말","학식","28"
"2021-08-10","","도움말","21"
"2021-08-10","","학식","17"
"2021-08-10","","도움말","8"
"2021-08-10","폴백 블록","학식","3"
"2021-08-10","학식","폴백 블록","2"
"2021-08-10","","폴백 블록","2"
"2021-08-10","학식","학식","2"
"2021-08-11","","학식","91"
"2021-08-11","도움말","학식","26"
"2021-08-11","","학식","25"
"2021-08-11","","도움말","22"
"2021-08-11","학식","학식","19"
"2021-08-11","폴백 블록","학식","7"
"2021-08-11","","도움말","4"
