"date_id","이전블록이름","블록이름","호출수"
"2021-02-01","","학식","29"
"2021-02-01","도움말","학식","15"
"2021-02-01","","도움말","13"
"2021-02-01","","학식","6"
"2021-02-01","","폴백 블록","3"
"2021-02-01","폴백 블록","학식","3"
"2021-02-02","","학식","29"
"2021-02-02","도움말","학식","14"
"2021-02-02","","도움말","8"
"2021-02-02","","학식","7"
"2021-02-02","","도움말","6"
"2021-02-02","폴백 블록","학식","4"
"2021-02-02","","폴백 블록","3"
"2021-02-02","학식","학식","2"
"2021-02-03","","학식","31"
"2021-02-03","도움말","학식","13"
"2021-02-03","","도움말","11"
"2021-02-03","","폴백 블록","4"
"2021-02-03","폴백 블록","학식","4"
"2021-02-03","후원","도움말","2"
"2021-02-03","","후원","2"
"2021-02-04","","학식","34"
"2021-02-04","도움말","학식","16"
"2021-02-04","","학식","15"
"2021-02-04","","도움말","10"
"2021-02-04","학식","학식","7"
"2021-02-04","","도움말","6"
"2021-02-04","폴백 블록","학식","6"
"2021-02-04","","폴백 블록","5"
"2021-02-05","","학식","22"
"2021-02-05","도움말","학식","15"
"2021-02-05","","도움말","9"
"2021-02-05","","도움말","5"
"2021-02-05","","폴백 블록","5"
"2021-02-05","폴백 블록","학식","4"
"2021-02-05","","웰컴 블록","3"
"2021-02-05","","셔틀","3"
"2021-02-06","","학식","2"
"2021-02-08","","학식","25"
"2021-02-08","도움말","학식","16"
"2021-02-08","","도움말","9"
"2021-02-08","","도움말","7"
"2021-02-08","","폴백 블록","4"
"2021-02-08","폴백 블록","학식","3"
"2021-02-08","","학식","3"
"2021-02-08","","셔틀","2"
"2021-02-09","","학식","27"
"2021-02-09","도움말","학식","13"
"2021-02-09","","도움말","9"
"2021-02-09","","폴백 블록","6"
"2021-02-09","폴백 블록","학식","5"
"2021-02-09","","학식","2"
"2021-02-09","","도움말","2"
"2021-02-09","폴백 블록","폴백 블록","2"
"2021-02-10","","학식","11"
"2021-02-10","도움말","학식","8"
"2021-02-10","","도움말","6"
"2021-02-10","","학식","6"
"2021-02-10","학식","학식","3"
"2021-02-10","","셔틀","3"
"2021-02-10","폴백 블록","학식","2"
"2021-02-10","","도움말","2"
"2021-02-15","","학식","30"
"2021-02-15","도움말","학식","14"
"2021-02-15","","학식","13"
"2021-02-15","","도움말","11"
"2021-02-15","학식","학식","4"
"2021-02-15","","도움말","3"
"2021-02-16","","학식","24"
"2021-02-16","","도움말","10"
"2021-02-16","도움말","학식","9"
"2021-02-16","폴백 블록","폴백 블록","5"
"2021-02-16","","셔틀","3"
"2021-02-16","폴백 블록","학식","2"
"2021-02-17","","학식","30"
"2021-02-17","도움말","학식","13"
"2021-02-17","","학식","8"
"2021-02-17","","도움말","8"
"2021-02-17","폴백 블록","학식","5"
"2021-02-17","","폴백 블록","4"
"2021-02-17","","셔틀","3"
"2021-02-17","","도움말","3"
"2021-02-17","","웰컴 블록","2"
"2021-02-18","","학식","24"
"2021-02-18","","도움말","7"
"2021-02-18","","웰컴 블록","6"
"2021-02-18","도움말","학식","5"
"2021-02-18","폴백 블록","학식","4"
"2021-02-18","","폴백 블록","4"
"2021-02-18","웰컴 블록","학식","3"
"2021-02-18","","학식","3"
"2021-02-19","","학식","14"
"2021-02-19","","웰컴 블록","10"
"2021-02-19","도움말","학식","6"
"2021-02-19","","도움말","5"
"2021-02-19","도움말","추천","4"
"2021-02-19","추천","도움말","3"
"2021-02-19","웰컴 블록","학식","3"
"2021-02-19","셔틀","후원","2"
"2021-02-20","","웰컴 블록","10"
"2021-02-20","웰컴 블록","학식","4"
"2021-02-20","도움말","추천","3"
"2021-02-20","웰컴 블록","막차","3"
"2021-02-20","학식","도움말","2"
"2021-02-20","웰컴 블록","후원","2"
"2021-02-20","","학식","2"
"2021-02-20","막차","셔틀","2"
"2021-02-20","도움말","시설","2"
"2021-02-21","","웰컴 블록","4"
"2021-02-21","웰컴 블록","학식","3"
"2021-02-22","","학식","18"
"2021-02-22","","도움말","7"
"2021-02-22","도움말","학식","5"
"2021-02-22","웰컴 블록","학식","2"
"2021-02-22","","웰컴 블록","2"
"2021-02-22","","셔틀","2"
"2021-02-23","","학식","19"
"2021-02-23","도움말","학식","4"
"2021-02-23","","폴백 블록","4"
"2021-02-23","폴백 블록","학식","4"
"2021-02-23","","웰컴 블록","3"
"2021-02-23","","도움말","2"
"2021-02-23","","도움말","2"
"2021-02-23","웰컴 블록","추천","2"
"2021-02-24","","학식","13"
"2021-02-24","","웰컴 블록","6"
"2021-02-24","도움말","학식","4"
"2021-02-24","","학식","4"
"2021-02-24","학식","학식","4"
"2021-02-24","","도움말","3"
"2021-02-24","","셔틀","2"
"2021-02-24","폴백 블록","학식","2"
"2021-02-24","웰컴 블록","학식","2"
"2021-02-25","","학식","20"
"2021-02-25","도움말","학식","6"
"2021-02-25","","도움말","6"
"2021-02-25","","웰컴 블록","5"
