"date_id","이전블록이름","블록이름","호출수"
"2021-09-01","","학식","102"
"2021-09-01","도움말","학식","40"
"2021-09-01","","도움말","29"
"2021-09-01","","학식","11"
"2021-09-01","","도움말","9"
"2021-09-01","","웰컴 블록","7"
"2021-09-01","학식","도움말","7"
"2021-09-01","","셔틀","7"
"2021-09-01","도움말","셔틀","5"
"2021-09-01","폴백 블록","학식","4"
"2021-09-01","웰컴 블록","학식","4"
"2021-09-01","학식","학식","3"
"2021-09-01","학식","폴백 블록","3"
"2021-09-01","시설","번호","2"
"2021-09-01","셔틀","도움말","2"
"2021-09-02","","학식","111"
"2021-09-02","도움말","학식","34"
"2021-09-02","","학식","29"
"2021-09-02","","도움말","27"
"2021-09-02","학식","학식","10"
"2021-09-02","","웰컴 블록","8"
"2021-09-02","학식","도움말","6"
"2021-09-02","웰컴 블록","학식","6"
"2021-09-02","","셔틀","4"
"2021-09-02","","도움말","3"
"2021-09-02","도움말","번호","2"
"2021-09-02","도움말","셔틀","2"
"2021-09-02","번호","번호","2"
"2021-09-02","폴백 블록","폴백 블록","2"
"2021-09-02","","폴백 블록","2"
"2021-09-03","","학식","92"
"2021-09-03","도움말","학식","33"
"2021-09-03","","도움말","23"
"2021-09-03","","학식","16"
"2021-09-03","","셔틀","12"
"2021-09-03","학식","학식","10"
"2021-09-03","","도움말","7"
"2021-09-03","","폴백 블록","5"
"2021-09-03","","웰컴 블록","4"
"2021-09-03","폴백 블록","학식","4"
"2021-09-03","웰컴 블록","학식","3"
"2021-09-03","학식","도움말","3"
"2021-09-03","지하철 도착 정보","지하철 도착 정보","2"
"2021-09-03","학식","폴백 블록","2"
"2021-09-04","","학식","33"
"2021-09-04","GetId","GetId","10"
"2021-09-04","","학식","10"
"2021-09-04","학식","학식","9"
"2021-09-04","도움말","학식","8"
"2021-09-04","","도움말","7"
"2021-09-04","","셔틀","3"
"2021-09-04","학식","도움말","3"
"2021-09-04","폴백 블록","학식","3"
"2021-09-04","폴백 블록","GetId","3"
"2021-09-04","","폴백 블록","2"
"2021-09-04","","웰컴 블록","2"
"2021-09-04","","도움말","2"
"2021-09-04","학식","셔틀","2"
"2021-09-04","폴백 블록","폴백 블록","2"
"2021-09-04","GetId","폴백 블록","2"
"2021-09-05","학식테스트","학식테스트","24"
"2021-09-05","","학식","6"
"2021-09-05","도움말","학식","4"
"2021-09-05","","도움말","4"
"2021-09-06","","학식","124"
"2021-09-06","도움말","학식","39"
"2021-09-06","","학식","30"
"2021-09-06","","도움말","29"
"2021-09-06","학식","학식","11"
"2021-09-06","","도움말","9"
"2021-09-06","","셔틀","7"
"2021-09-06","학식","도움말","6"
"2021-09-06","폴백 블록","학식","5"
"2021-09-06","","폴백 블록","4"
"2021-09-06","도움말","셔틀","3"
"2021-09-06","식단 등록-중식","식단 등록-중식","2"
"2021-09-06","날씨","학식","2"
"2021-09-06","학식","폴백 블록","2"
"2021-09-06","","폴백 블록","2"
"2021-09-06","","웰컴 블록","2"
"2021-09-06","날짜 입력","날짜 입력","2"
"2021-09-06","식당 확인","식단 등록-중식","2"
"2021-09-06","식당 확인","식당 확인","2"
"2021-09-06","식단 등록-석식","날짜 입력","2"
"2021-09-06","식단 등록-중식","식단 등록-석식","2"
"2021-09-06","식단 등록-석식","식단 등록-석식","2"
"2021-09-07","","학식","125"
"2021-09-07","도움말","학식","35"
"2021-09-07","","도움말","27"
"2021-09-07","","학식","15"
"2021-09-07","학식","도움말","8"
"2021-09-07","폴백 블록","학식","7"
"2021-09-07","","폴백 블록","7"
"2021-09-07","","도움말","5"
"2021-09-07","웰컴 블록","학식","3"
"2021-09-07","도움말","셔틀","3"
"2021-09-07","","웰컴 블록","3"
"2021-09-07","","셔틀","2"
"2021-09-08","","학식","140"
"2021-09-08","도움말","학식","44"
"2021-09-08","","도움말","31"
"2021-09-08","","학식","28"
"2021-09-08","","도움말","10"
"2021-09-08","학식","도움말","7"
"2021-09-08","학식","학식","6"
"2021-09-08","","웰컴 블록","4"
"2021-09-08","웰컴 블록","학식","4"
"2021-09-08","","셔틀","3"
"2021-09-08","폴백 블록","학식","2"
"2021-09-09","","학식","125"
"2021-09-09","도움말","학식","51"
"2021-09-09","","도움말","36"
"2021-09-09","","학식","25"
"2021-09-09","","도움말","11"
"2021-09-09","폴백 블록","학식","10"
"2021-09-09","","폴백 블록","9"
"2021-09-09","학식","학식","7"
"2021-09-09","","웰컴 블록","7"
"2021-09-09","웰컴 블록","학식","5"
"2021-09-09","폴백 블록","폴백 블록","4"
"2021-09-09","학식","도움말","4"
"2021-09-09","","셔틀","4"
"2021-09-09","지하철 도착 정보","지하철 도착 정보","3"
"2021-09-09","학식","폴백 블록","3"
"2021-09-09","지하철 도착 정보","도움말","2"
"2021-09-09","셔틀","도움말","2"
"2021-09-09","도움말","지하철 도착 정보","2"
"2021-09-09","웰컴 블록","셔틀","2"
"2021-09-10","","학식","96"
"2021-09-10","도움말","학식","40"
"2021-09-10","","도움말","28"
"2021-09-10","","학식","23"
"2021-09-10","","도움말","12"
"2021-09-10","","셔틀","7"
"2021-09-10","학식","도움말","6"
"2021-09-10","학식","학식","5"
"2021-09-10","도움말","셔틀","4"
"2021-09-10","폴백 블록","학식","2"
"2021-09-10","셔틀","추천","2"
"2021-09-10","","폴백 블록","2"
"2021-09-10","","웰컴 블록","2"
"2021-09-10","웰컴 블록","학식","2"
"2021-09-11","","학식","24"
"2021-09-11","도움말","학식","7"
"2021-09-11","","도움말","6"
"2021-09-11","","학식","4"
"2021-09-11","학식","학식","3"
"2021-09-11","","셔틀","2"
"2021-09-12","","학식","6"
"2021-09-12","","도움말","5"
"2021-09-12","도움말","학식","4"
"2021-09-13","","학식","114"
"2021-09-13","도움말","학식","43"
"2021-09-13","","도움말","30"
"2021-09-13","","학식","27"
"2021-09-13","","도움말","13"
"2021-09-13","학식","학식","7"
"2021-09-13","","셔틀","6"
"2021-09-13","","웰컴 블록","4"
"2021-09-13","웰컴 블록","학식","4"
