"date_id","이전블록이름","블록이름","호출수"
"2021-04-01","","학식","153"
"2021-04-01","도움말","학식","98"
"2021-04-01","","도움말","72"
"2021-04-01","","학식","32"
"2021-04-01","","도움말","24"
"2021-04-01","","폴백 블록","17"
"2021-04-01","폴백 블록","학식","17"
"2021-04-01","","웰컴 블록","13"
"2021-04-01","웰컴 블록","학식","9"
"2021-04-01","학식","도움말","8"
"2021-04-01","학식","학식","6"
"2021-04-01","","셔틀","4"
"2021-04-01","날짜 입력","날짜 입력","3"
"2021-04-01","학식","폴백 블록","3"
"2021-04-01","식단 등록-중식","식단 등록-석식","3"
"2021-04-01","도움말","추천","3"
"2021-04-01","식단 등록-중식","식단 등록-중식","3"
"2021-04-01","식당 확인","식당 확인","3"
"2021-04-01","식단 등록-석식","날짜 입력","3"
"2021-04-01","식당 확인","식단 등록-중식","3"
"2021-04-01","식단 등록-석식","식단 등록-석식","3"
"2021-04-01","학식","셔틀","2"
"2021-04-01","","셔틀","2"
"2021-04-01","","GetId","2"
"2021-04-02","","학식","108"
"2021-04-02","도움말","학식","92"
"2021-04-02","","도움말","65"
"2021-04-02","폴백 블록","학식","35"
"2021-04-02","학식","폴백 블록","28"
"2021-04-02","","학식","16"
"2021-04-02","","도움말","16"
"2021-04-02","학식","도움말","13"
"2021-04-02","폴백 블록","폴백 블록","12"
"2021-04-02","학식","학식","12"
"2021-04-02","","웰컴 블록","12"
"2021-04-02","","폴백 블록","9"
"2021-04-02","웰컴 블록","학식","9"
"2021-04-02","","폴백 블록","9"
"2021-04-02","","셔틀","6"
"2021-04-02","식단 등록-중식","식단 등록-중식","5"
"2021-04-02","피드백 관리","피드백 관리","5"
"2021-04-02","식당 확인","식당 확인","4"
"2021-04-02","폴백 블록","셔틀","4"
"2021-04-02","","셔틀","4"
"2021-04-02","학식","식당 확인","3"
"2021-04-02","식단 등록-석식","식단 등록-석식","3"
"2021-04-02","폴백 블록","도움말","3"
"2021-04-02","식당 확인","식단 등록-중식","3"
"2021-04-02","식단 등록-중식","식단 등록-석식","3"
"2021-04-02","도움말","셔틀","3"
"2021-04-02","식단 등록-석식","날짜 입력","3"
"2021-04-02","날짜 입력","날짜 입력","3"
"2021-04-02","폴백 블록","번호","2"
"2021-04-02","막차","도움말","2"
"2021-04-02","막차","후원","2"
"2021-04-02","도움말","추천","2"
"2021-04-02","폴백 블록","막차","2"
"2021-04-02","피드백","피드백","2"
"2021-04-02","도움말","막차","2"
"2021-04-02","날짜 입력","학식","2"
"2021-04-03","","학식","17"
"2021-04-03","","도움말","6"
"2021-04-03","도움말","학식","5"
"2021-04-03","","학식","4"
"2021-04-03","폴백 블록","학식","4"
"2021-04-03","피드백 관리","피드백 관리","3"
"2021-04-03","학식","학식","2"
"2021-04-03","피드백 관리","학식","2"
"2021-04-03","학식","폴백 블록","2"
"2021-04-03","","폴백 블록","2"
"2021-04-04","","학식","13"
"2021-04-04","도움말","학식","7"
"2021-04-04","","도움말","6"
"2021-04-04","","웰컴 블록","3"
"2021-04-04","","폴백 블록","3"
"2021-04-04","학식","학식","2"
"2021-04-04","날씨","폴백 블록","2"
"2021-04-04","폴백 블록","날씨","2"
"2021-04-04","폴백 블록","학식","2"
"2021-04-04","폴백 블록","폴백 블록","2"
"2021-04-04","학식","폴백 블록","2"
"2021-04-05","","학식","176"
"2021-04-05","도움말","학식","68"
"2021-04-05","","도움말","53"
"2021-04-05","폴백 블록","학식","41"
"2021-04-05","","학식","40"
"2021-04-05","학식","학식","29"
"2021-04-05","","폴백 블록","25"
"2021-04-05","학식","폴백 블록","19"
"2021-04-05","식단 등록-중식","식단 등록-중식","12"
"2021-04-05","","폴백 블록","11"
"2021-04-05","","웰컴 블록","11"
"2021-04-05","폴백 블록","도움말","10"
"2021-04-05","웰컴 블록","학식","8"
"2021-04-05","식당 확인","식당 확인","8"
"2021-04-05","식단 등록-석식","식단 등록-석식","7"
"2021-04-05","식당 확인","식단 등록-중식","7"
"2021-04-05","식단 등록-중식","식단 등록-석식","6"
"2021-04-05","날짜 입력","날짜 입력","5"
"2021-04-05","식단 등록-석식","날짜 입력","5"
"2021-04-05","","셔틀","4"
"2021-04-05","날짜 입력","학식","4"
"2021-04-05","폴백 블록","셔틀","3"
"2021-04-05","욕설","폴백 블록","3"
"2021-04-05","폴백 블록","폴백 블록","3"
"2021-04-05","","셔틀","2"
"2021-04-05","","학식","2"
"2021-04-05","도움말","셔틀","2"
"2021-04-05","","식당 확인","2"
"2021-04-05","","번호","2"
"2021-04-05","셔틀","도움말","2"
"2021-04-05","학식","추천","2"
"2021-04-05","학식","욕설","2"
"2021-04-05","날씨","학식","2"
"2021-04-05","학식","식당 확인","2"
"2021-04-05","폴백 블록","식당 확인","2"
"2021-04-05","","날씨","2"
"2021-04-05","학식","도움말","2"
"2021-04-05","피드백 관리","피드백 관리","2"
"2021-04-06","","학식","193"
"2021-04-06","","학식","61"
"2021-04-06","도움말","학식","57"
"2021-04-06","폴백 블록","학식","50"
"2021-04-06","학식","폴백 블록","33"
"2021-04-06","","도움말","32"
"2021-04-06","학식","학식","32"
"2021-04-06","","폴백 블록","28"
"2021-04-06","폴백 블록","도움말","13"
"2021-04-06","","폴백 블록","9"
"2021-04-06","셔틀","도움말","6"
"2021-04-06","폴백 블록","셔틀","6"
"2021-04-06","학식","도움말","6"
"2021-04-06","","웰컴 블록","5"
"2021-04-06","피드백 관리","피드백 관리","4"
"2021-04-06","웰컴 블록","학식","4"
"2021-04-06","도움말","시설","3"
"2021-04-06","","도움말","3"
"2021-04-06","폴백 블록","추천","2"
"2021-04-06","식당 확인","식당 확인","2"
"2021-04-06","식단 등록-중식","식단 등록-중식","2"
"2021-04-06","식당 확인","식단 등록-중식","2"
"2021-04-06","추천","도움말","2"
"2021-04-06","도움말","추천","2"
"2021-04-06","식단 등록-석식","식단 등록-석식","2"
"2021-04-06","식단 등록-중식","식단 등록-석식","2"
"2021-04-06","피드백 관리","학식","2"
"2021-04-06","","셔틀","2"
"2021-04-06","폴백 블록","폴백 블록","2"
"2021-04-06","도움말","셔틀","2"
"2021-04-06","시설","학식","2"
"2021-04-06","","피드백","2"
"2021-04-06","학식","추천","2"
"2021-04-07","","학식","205"
"2021-04-07","폴백 블록","학식","26"
"2021-04-07","도움말","학식","22"
"2021-04-07","","폴백 블록","21"
